status,total_count,num_per_page,ticker_id,url
,375034,80,000002,
,265865,80,000001,
,80465,80,000005,
,49636,80,000006,
,1105,80,000003,
,30301,80,000007,
,57787,80,000010,
,29182,80,000008,
,19860,80,000004,
,83,80,000013,
,53571,80,000011,
,244143,80,000009,
,118158,80,000012,
,90243,80,000016,
,85,80,000015,
,63563,80,000017,
,16772,80,000018,
,40467,80,000020,
,57717,80,000021,
,40531,80,000019,
,25051,80,000022,
,38407,80,000014,
,19847,80,000023,
,83318,80,000024,
,102664,80,000025,
,21421,80,000026,
,51832,80,000027,
,11665,80,000028,
,37125,80,000029,
,68740,80,000030,
,86465,80,000031,
,30095,80,000032,
,40795,80,000033,
,36138,80,000034,
,22442,80,000035,
,57064,80,000036,
,20132,80,000037,
,82381,80,000039,
,16264,80,000038,
,28995,80,000040,
,31190,80,000042,
,46127,80,000043,
,31,80,000047,
,47115,80,000046,
,24979,80,000045,
,34048,80,000048,
,43865,80,000049,
,102172,80,000050,
,37271,80,000055,
,47173,80,000058,
,59053,80,000059,
,68686,80,000060,
,39374,80,000056,
,39363,80,000061,
,54285,80,000062,
,132988,80,000063,
,21773,80,000065,
,55696,80,000066,
,33853,80,000068,
,80649,80,000069,
,27108,80,000070,
,151204,80,000078,
,56012,80,000088,
,38557,80,000089,
,55434,80,000090,
,38560,80,000096,
,55995,80,000099,
,31180,80,000150,
,360791,80,000100,
,52448,80,000151,
,31861,80,000153,
,40100,80,000155,
,41214,80,000156,
,198152,80,000157,
,52466,80,000158,
,71733,80,000159,
,54329,80,000301,
,101362,80,000166,
,54403,80,000333,
,130914,80,000338,
,53426,80,000400,
,41173,80,000401,
,119422,80,000402,
,40027,80,000403,
,46535,80,000404,
,38,80,000405,
,436,80,000406,
,43844,80,000407,
,74496,80,000408,
,41483,80,000409,
,100914,80,000410,
,20333,80,000411,
,22,80,000412,
,91709,80,000413,
,75311,80,000415,
,42661,80,000416,
,34850,80,000417,
,24925,80,000418,
,30689,80,000419,
,46564,80,000420,
,32829,80,000421,
,80217,80,000422,
,72653,80,000423,
,101724,80,000425,
,61740,80,000426,
,40005,80,000428,
,30671,80,000429,
,32625,80,000430,
,67841,80,000488,
,69127,80,000498,
,21841,80,000501,
,39259,80,000502,
,93909,80,000503,
,44757,80,000504,
,53519,80,000505,
,60195,80,000506,
,41,80,000508,
,84179,80,000507,
,111197,80,000509,
,144962,80,000510,
,115504,80,000511,
,18475,80,000513,
,55811,80,000514,
,70,80,000515,
,67214,80,000517,
,70299,80,000516,
,144903,80,000518,
,59733,80,000519,
,130578,80,000520,
,59093,80,000521,
,37546,80,000524,
,30997,80,000525,
,56162,80,000523,
,27648,80,000526,
,42956,80,000527,
,80626,80,000528,
,54453,80,000529,
,89307,80,000522,
,41523,80,000530,
,34225,80,000531,
,70469,80,000532,
,45256,80,000533,
,38340,80,000534,
,357,80,000535,
,64403,80,000536,
,46067,80,000537,
,37005,80,000538,
,36646,80,000539,
,139175,80,000540,
,93837,80,000541,
,108,80,000542,
,59630,80,000543,
,28087,80,000544,
,72660,80,000545,
,23668,80,000546,
,60164,80,000547,
,29808,80,000548,
,58,80,000549,
,20274,80,000550,
,26551,80,000552,
,43486,80,000551,
,41366,80,000553,
,63268,80,000554,
,33306,80,000555,
,28,80,000556,
,81936,80,000557,
,48388,80,000558,
,130580,80,000559,
,20001,80,000560,
,60281,80,000561,
,74151,80,000562,
,51725,80,000563,
,44838,80,000564,
,38236,80,000565,
,24157,80,000566,
,30613,80,000567,
,84282,80,000568,
,48,80,000569,
,35002,80,000570,
,64653,80,000571,
,99194,80,000572,
,38113,80,000573,
,48402,80,000576,
,11669,80,000578,
,40352,80,000581,
,35737,80,000582,
,381,80,000583,
,44215,80,000584,
,72662,80,000585,
,32426,80,000586,
,103823,80,000587,
,20,80,000588,
,54248,80,000589,
,27018,80,000590,
,25045,80,000591,
,69681,80,000592,
,34504,80,000593,
,88059,80,000594,
,29301,80,000595,
,23357,80,000596,
,55319,80,000597,
,110313,80,000598,
,68250,80,000599,
,28826,80,000600,
,54386,80,000601,
,14873,80,000602,
,56269,80,000603,
,33435,80,000605,
,69120,80,000606,
,56321,80,000607,
,40516,80,000608,
,34965,80,000610,
,76488,80,000609,
,54798,80,000611,
,78325,80,000612,
,28267,80,000613,
,43524,80,000615,
,98680,80,000616,
,24365,80,000617,
,311,80,000618,
,29300,80,000619,
,55936,80,000620,
,26,80,000621,
,40132,80,000622,
,109542,80,000623,
,122970,80,000625,
,55777,80,000626,
,92571,80,000627,
,280564,80,000629,
,40459,80,000628,
,107501,80,000630,
,39813,80,000631,
,60409,80,000632,
,34290,80,000633,
,29487,80,000635,
,63241,80,000636,
,34723,80,000637,
,36304,80,000638,
,21867,80,000639,
,43289,80,000650,
,149721,80,000651,
,89788,80,000652,
,37,80,000653,
,59820,80,000655,
,76214,80,000656,
,61505,80,000657,
,32,80,000658,
,18,80,000660,
,85820,80,000659,
,65298,80,000661,
,40895,80,000662,
,47119,80,000663,
,35555,80,000665,
,42968,80,000666,
,109538,80,000667,
,24548,80,000668,
,19514,80,000669,
,259731,80,000670,
,37587,80,000671,
,28333,80,000672,
,23703,80,000673,
,20,80,000675,
,65579,80,000676,
,65300,80,000677,
,29467,80,000678,
,40926,80,000679,
,76061,80,000680,
,67406,80,000682,
,33288,80,000681,
,57497,80,000683,
,44675,80,000685,
,71664,80,000686,
,61356,80,000687,
,24,80,000689,
,50963,80,000688,
,57945,80,000690,
,55632,80,000691,
,46850,80,000692,
,53740,80,000693,
,56662,80,000697,
,21673,80,000695,
,59503,80,000698,
,340,80,000699,
,54758,80,000701,
